,rating,submission_time,review_text,product_name,brand_name,rule_ratings_sentiment,tokens,rule_words_sentiment,rule_patterns_sentiment,processed_reviews,encoded_sentiment,rf_sentiment,rf_rating
1,1,2023-03-21,"I bought this lip mask after reading the reviews and the hype. Unfortunately, it did not meet my expectations as vaseline petroleum jelly works way better for me.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['bought', 'lip', 'mask', 'reading', 'review', 'hype', 'unfortunately', 'meet', 'expectation', 'vaseline', 'petroleum', 'jelly', 'work', 'way', 'well']",Neutral,Neutral,bought lip mask reading review hype unfortunately meet expectation vaseline petroleum jelly work way well,1,Positive,5.0
2,5,2023-03-21,My review title says it all! I get so excited to get into bed and apply this lip mask. I do see a difference because I suffer from dry cracked lips. I drink a lot of water and apply lip balm daily but nothing helped until I started using this. untiluntistafted usinf this.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['review', 'title', 'say', 'get', 'excite', 'get', 'bed', 'apply', 'lip', 'mask', 'see', 'difference', 'suffer', 'dry', 'crack', 'lip', 'drink', 'lot', 'water', 'apply', 'lip', 'balm', 'daily', 'nothing', 'help', 'start', 'use', 'untiluntistafted', 'usinf']",Neutral,Positive,review title say get excite get bed apply lip mask see difference suffer dry crack lip drink lot water apply lip balm daily nothing help start use untiluntistafted usinf,2,Positive,5.0
3,5,2023-03-20,I’ve always loved this formula for a long time. I honestly don’t even use it for night time. I use it as an everyday lip balm. I love the texture. Gummy Bear is my second most favourite scent. Grapefruit is the best in my opinion.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['’', 'always', 'love', 'formula', 'long', 'time', 'honestly', '’', 'even', 'use', 'night', 'time', 'use', 'everyday', 'lip', 'balm', 'love', 'texture', 'gummy', 'bear', 'second', 'favourite', 'scent', 'grapefruit', 'best', 'opinion']",Positive,Positive,’ always love formula long time honestly ’ even use night time use everyday lip balm love texture gummy bear second favourite scent grapefruit best opinion,2,Positive,4.0
4,5,2023-03-20,"If you have dry cracked lips, this is a must have. After a few weeks of use I have learned I will always have by my bedside. I thought it was a little expensive but a little goes a long way. It is worth the price.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['dry', 'crack', 'lip', 'must', 'week', 'use', 'learn', 'always', 'bedside', 'thought', 'little', 'expensive', 'little', 'go', 'long', 'way', 'worth', 'price']",Neutral,Negative,dry crack lip must week use learn always bedside thought little expensive little go long way worth price,0,Positive,5.0
5,4,2023-03-19,"The scent isn’t my favourite but it works great! I put it on every night before I go to sleep and every morning I wake up with smooth, moisturizer and soft. Packaging is amazing as well",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['scent', '’', 'favourite', 'work', 'great', 'put', 'every', 'night', 'go', 'sleep', 'every', 'morning', 'wake', 'smooth', 'moisturizer', 'soft', 'packaging', 'amaze', 'well']",Neutral,Positive,scent ’ favourite work great put every night go sleep every morning wake smooth moisturizer soft packaging amaze well,2,Negative,2.0
6,2,2023-03-19,"I’ll give this 2 stars for nice packaging and lovely scent. Upon initial application, it feels very nice. But as I continued to use it I noticed I was getting more and more blackheads/clogged pores and pimples around my lips. I thought it was my Aquaphor but it’s THIS!!!! It also makes my lips even more dry than they initially were. Disappointing:( around my",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['’', 'give', '2', 'star', 'nice', 'packaging', 'lovely', 'scent', 'upon', 'initial', 'application', 'feel', 'nice', 'continued', 'use', 'notice', 'get', 'blackheads/clogged', 'pore', 'pimple', 'around', 'lip', 'thought', 'aquaphor', '’', 'also', 'make', 'lip', 'even', 'dry', 'initially', 'disappoint', 'around']",Neutral,Positive,’ give 2 star nice packaging lovely scent upon initial application feel nice continued use notice get blackheads/clogged pore pimple around lip thought aquaphor ’ also make lip even dry initially disappoint around,2,Positive,1.0
7,5,2023-03-19,I use this at night or while I’m putting makeup on. Love the way I don’t have to reapply it during the night. Definitely a win.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['use', 'night', '’', 'put', 'makeup', 'love', 'way', '’', 'reapply', 'night', 'definitely', 'win']",Positive,Positive,use night ’ put makeup love way ’ reapply night definitely win,2,Negative,5.0
8,5,2023-03-18,"I love this stuff. I first had the sample size from a Sephora Birthday gift, and once I had run through it I knew it was a purchase. I live in an incredibly dry environment, great for macarons, but terrible for my skin. This lip mask helps to keep my lips from becoming too chapped.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', 'stuff', 'first', 'sample', 'size', 'sephora', 'birthday', 'gift', 'run', 'knew', 'purchase', 'live', 'incredibly', 'dry', 'environment', 'great', 'macarons', 'terrible', 'skin', 'lip', 'mask', 'help', 'keep', 'lip', 'become', 'chapped']",Neutral,Positive,love stuff first sample size sephora birthday gift run knew purchase live incredibly dry environment great macarons terrible skin lip mask help keep lip become chapped,2,Positive,5.0
9,5,2023-03-18,"I purchased the Sweet Candy scent at my local Sephora and I am OBSESSED!! I will be honest, the scent is a bit strong - but they’re all strongly scented. My lips are so soft. 10/10!",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['purchase', 'sweet', 'candy', 'scent', 'local', 'sephora', 'obsess', 'honest', 'scent', 'bit', 'strong', '’', 'strongly', 'scent', 'lip', 'soft', '10/10']",Neutral,Positive,purchase sweet candy scent local sephora obsess honest scent bit strong ’ strongly scent lip soft 10/10,2,Positive,1.0
10,5,2023-03-18,this product is a bit pricey but after using one scoop i figured this will take a LONG time to use up the whole container. it smells so good and the container is so cute.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['product', 'bit', 'pricey', 'use', 'one', 'scoop', 'figure', 'take', 'long', 'time', 'use', 'whole', 'container', 'smell', 'good', 'container', 'cute']",Positive,Positive,product bit pricey use one scoop figure take long time use whole container smell good container cute,2,Positive,5.0
