,rating,submission_time,review_text,product_name,brand_name,rule_patterns_sentiment,dominant_topic
0,1,2023-03-21,"I bought this lip mask after reading the reviews and the hype. Unfortunately, it did not meet my expectations as vaseline petroleum jelly works way better for me.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Neutral,2.0
1,5,2023-03-21,My review title says it all! I get so excited to get into bed and apply this lip mask. I do see a difference because I suffer from dry cracked lips. I drink a lot of water and apply lip balm daily but nothing helped until I started using this. untiluntistafted usinf this.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
2,5,2023-03-20,I’ve always loved this formula for a long time. I honestly don’t even use it for night time. I use it as an everyday lip balm. I love the texture. Gummy Bear is my second most favourite scent. Grapefruit is the best in my opinion.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
3,5,2023-03-20,"If you have dry cracked lips, this is a must have. After a few weeks of use I have learned I will always have by my bedside. I thought it was a little expensive but a little goes a long way. It is worth the price.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,3.0
4,4,2023-03-19,"The scent isn’t my favourite but it works great! I put it on every night before I go to sleep and every morning I wake up with smooth, moisturizer and soft. Packaging is amazing as well",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
5,2,2023-03-19,"I’ll give this 2 stars for nice packaging and lovely scent. Upon initial application, it feels very nice. But as I continued to use it I noticed I was getting more and more blackheads/clogged pores and pimples around my lips. I thought it was my Aquaphor but it’s THIS!!!! It also makes my lips even more dry than they initially were. Disappointing:( around my",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
6,5,2023-03-19,I use this at night or while I’m putting makeup on. Love the way I don’t have to reapply it during the night. Definitely a win.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
7,5,2023-03-18,"I love this stuff. I first had the sample size from a Sephora Birthday gift, and once I had run through it I knew it was a purchase. I live in an incredibly dry environment, great for macarons, but terrible for my skin. This lip mask helps to keep my lips from becoming too chapped.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
8,5,2023-03-18,"I purchased the Sweet Candy scent at my local Sephora and I am OBSESSED!! I will be honest, the scent is a bit strong - but they’re all strongly scented. My lips are so soft. 10/10!",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
9,5,2023-03-18,this product is a bit pricey but after using one scoop i figured this will take a LONG time to use up the whole container. it smells so good and the container is so cute.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
10,5,2023-03-18,I use this every night and morning and it works wonders! This never fails to make my lips super hydrated! The tint and shine to it makes it even a great lip gloss during the day!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
11,4,2023-03-17,A little goes a long way. Love the fragrance and works great as a night lip mask. Only reason I gave it 4 stars is because of the price.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
12,1,2023-03-17,Honestly I was so excited when I got this in the mail. But unfortunately it is not worth the hype :( I have boughten two of these full size and I went through them so quickly. The ingredients are not very clean and this product made my lips so dry. I wanted to like this product so bad as it’s so cute and smells nice. But unfortunately it is a hard pass for me. I will be sticking to my vaseline and aquaphor for now :/,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
13,3,2023-03-16,Does the gummy bear mask smell absolutely delicious?! Yes. Does it do much for my lips overnight? Nope. They are dry and a little chapped in the morning. I honestly have better luck with my vaseline lip therapy but I am still keeping the Laneige to use as a daily balm.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
14,5,2023-03-16,"I just got this a few days ago, it’s amazing! I love the berry scent ! It’s very hydrating and my lips are so smooth and glossy . My lips are always chapped and dry this has really helped!",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
15,5,2023-03-16,i love how hydrating this makes my lips feel! perfect for an overnight lip mask or just a gloss as well! lasts forever,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,
